PM ASL data store: /var/log/powermanagement
2020-01-14 12:40:50 +0100 ShutdownCause       	SMC shutdown cause: 0: Battery disconnected                                	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2020-01-14 13:03:03 +0100 Assertions          	PID 4185(fsck_apfs) Released PreventUserIdleDisplaySleep "Running FSCK" 00:00:00  id:0x0x5000089bc [System: DeclUser IntPrevDisp NetAcc kCPU kDisp]          
2020-01-14 13:03:08 +0100 Assertions          	PID 1598(studentd) Released NetworkClientActive "studentd:1598:CRKNetworkPowerAssertion:0x7fc922501670" 00:00:05  id:0x0x11000089bb [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:12 +0100 Assertions          	PID 178(coreaudiod) TurnedOn PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000089da [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:12 +0100 Assertions          	PID 178(coreaudiod) TurnedOff PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000089da [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:15 +0100 Assertions          	PID 178(coreaudiod) TurnedOn PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000089da [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:16 +0100 Assertions          	PID 178(coreaudiod) TurnedOff PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x5000089da [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:03:16 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:70001:0:{8B4A-BC32-01010101}.context.preventuseridledisplaysleep" 00:00:01  id:0x0x5000089da [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:05:12 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context174.preventuseridledisplaysleep" 00:11:15  id:0x0x5000087a3 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:05:12 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context174.preventuseridlesleep" 00:11:15  id:0x0x1000087a2 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:05:12 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleDisplaySleep "com.apple.audio.context175.preventuseridledisplaysleep" 00:11:15  id:0x0x5000087a7 [System: DeclUser IntPrevDisp kDisp]          
2020-01-14 13:05:12 +0100 Assertions          	PID 178(coreaudiod) Released PreventUserIdleSystemSleep "com.apple.audio.context175.preventuseridlesleep" 00:11:15  id:0x0x1000087a6 [System: DeclUser IntPrevDisp kDisp]          
