PM ASL data store: /var/log/powermanagement
2021-02-01 21:13:49 +0100 ShutdownCause       	SMC shutdown cause: 1: Normal warm reset                                   	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2021-02-01 21:26:47 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b2 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:47 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b2 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:51 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b3 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:51 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b3 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:54 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b4 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:54 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b4 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 150(PowerUIAgent) Created MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd000082b5 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 150(PowerUIAgent) Released MaintenanceWake "com.apple.obc" 00:00:00  id:0x0xd000082b5 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b6 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b6 [System: DeclUser BGTask kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b7 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:26:58 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b7 [System: DeclUser BGTask kDisp]          
2021-02-01 21:27:02 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b8 [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:27:02 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082b8 [System: DeclUser BGTask kDisp]          
2021-02-01 21:27:05 +0100 Assertions          	PID 68(powerd) Created InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ba [System: DeclUser BGTask SRPrevSleep kCPU kDisp]          
2021-02-01 21:27:05 +0100 Assertions          	PID 68(powerd) Released InternalPreventSleep "Assertion to change proximity monitoring state" 00:00:00  id:0x0xd000082ba [System: DeclUser BGTask kDisp]          
