Num: b0=0 b1=0 b2=2 b3=ffffff9e size=4
  MSag  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MVDS  [flag]  (bytes 00)
  MVIE  [flag]  (bytes 00)
  MVS4  [ui8 ]  0 (bytes 00)
  NACK  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  0 (bytes 00)
  NATi  [ui16]  0 (bytes 00 00)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSSS  [ui8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OSWD  [ui16]  23 (bytes 00 17)
  PBLC  [sp78]  (bytes 00 00)
  PC0C  [sp78]  (bytes 00 17)
  PC0R  [sp78]  (bytes 00 00)
  PC1C  [sp78]  (bytes 00 00)
  PC2C  [sp78]  (bytes 04 0d)
  PCMC  [sp78]  (bytes 00 00)
  PCPC  [sp78]  (bytes 0b 99)
  PCPG  [sp78]  (bytes 00 00)
  PCPT  [sp78]  (bytes 0d 8a)
  PD0R  [sp78]  (bytes 00 00)
  PHPC  [sp78]  (bytes 00 00)
  PHSC  [sp78]  (bytes 00 00)
  PLDC  [sp78]  (bytes 00 00)
  PM0C  [sp78]  (bytes 00 00)
  PM1C  [sp78]  (bytes 00 00)
  PM2C  [sp78]  (bytes 00 00)
  PO3R  [sp78]  (bytes 00 00)
  PO5R  [sp78]  (bytes 00 00)
  PP0R  [sp78]  (bytes 00 00)
  PPBR  [sp78]  (bytes 00 00)
  PR3C  [sp78]  (bytes 00 00)
  PR5C  [sp78]  (bytes 00 00)
  PSDC  [sp78]  (bytes 00 00)
  PSTR  [sp78]  (bytes 05 00)
  PTHC  [flt ]  (bytes 00 00 00 00)
  PTPC  [sp78]  (bytes 00 00)
  PTPD  [flt ]  (bytes 19 77 be 3f)
  PTPE  [flt ]  (bytes 00 00 00 00)
  PTPc  [sp78]  (bytes 00 00)
  PZ0E  [flt ]  (bytes 00 00 00 00)
  PZ0F  [flt ]  (bytes 8f 54 c2 40)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 00 00 00 00)
  PZ1F  [flt ]  (bytes 00 80 06 40)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  QCEC  [si8 ]  (bytes 00)
  QCFE  [flt ]  (bytes 00 00 00 00)
  QCHA  [flt ]  (bytes 00 00 00 00)
  QCHE  [flt ]  (bytes 00 00 00 00)
  QCHa  [si8 ]  (bytes ff)
  QCLA  [flt ]  (bytes 00 00 00 00)
  QCLE  [flt ]  (bytes 00 00 00 00)
  QCLV  [ui8 ]  0 (bytes 00)
  QCLa  [si8 ]  (bytes ff)
  QCLv  [flt ]  (bytes 00 00 00 00)
  QCPE  [flt ]  (bytes 00 00 00 00)
  QECI  [ui8 ]  (bytes 00)
  QECS  [ui8 ]  (bytes 00)
  QENA  [flag]  (bytes 01)
  QENN  [flag]  (bytes 01)
  QERI  [hex_]  (bytes 00 00 00 00)
  QERR  [hex_]  (bytes 00 00 00 00)
  QERS  [hex_]  (bytes 00 00 00 00)
  QFL!  [hex_]  (bytes 00)
  QIEC  [si8 ]  (bytes 00)
  QIFE  [flt ]  (bytes 00 00 00 00)
  QIHA  [flt ]  (bytes 00 00 00 00)
  QIHE  [flt ]  (bytes 00 00 00 00)
  QIHa  [si8 ]  (bytes ff)
  QILA  [flt ]  (bytes 00 00 00 00)
  QILE  [flt ]  (bytes 00 00 00 00)
  QILV  [ui8 ]  0 (bytes 00)
  QILa  [si8 ]  (bytes ff)
  QILv  [flt ]  (bytes 00 00 00 00)
  QIPE  [flt ]  (bytes 00 00 00 00)
  QVER  [ui8 ]  1 (bytes 01)
  RBID  [flag]  (bytes 01)
  RBr   [ch8*]  (bytes 6a 35 32 00 00 00 00 00)
