Num: b0=0 b1=0 b2=1 b3=ffffffef size=4
  TH0B  [sp78]  (bytes 81 00)
  TH0C  [sp78]  (bytes 81 00)
  TH0F  [sp78]  (bytes 81 00)
  TH0O  [sp78]  (bytes 09 00)
  TH0P  [sp78]  (bytes 81 00)
  TH0R  [sp78]  (bytes 81 00)
  TH0a  [sp78]  (bytes 81 00)
  TH0b  [sp78]  (bytes 81 00)
  TH0c  [sp78]  (bytes 81 00)
  TH0e  [sp78]  (bytes 01 00)
  TH0o  [hex_]  (bytes 00 80)
  TH1A  [sp78]  (bytes 81 00)
  TH1B  [sp78]  (bytes 81 00)
  TH1C  [sp78]  (bytes 81 00)
  TH1F  [sp78]  (bytes 81 00)
  TH1O  [sp78]  (bytes 09 00)
  TH1P  [sp78]  (bytes 81 00)
  TH1R  [sp78]  (bytes 81 00)
  TH1a  [sp78]  (bytes 81 00)
  TH1b  [sp78]  (bytes 81 00)
  TH1c  [sp78]  (bytes 81 00)
  TH1o  [hex_]  (bytes 00 80)
  TL0P  [sp78]  (bytes 10 ae)
  TL0V  [sp78]  (bytes 1d 6c)
  TL0p  [sp78]  (bytes 1f 60)
  TL1P  [sp78]  (bytes 20 70)
  TL1V  [sp78]  (bytes 1d 43)
  TL1p  [sp78]  (bytes 20 70)
  TL1v  [sp78]  (bytes 1d 49)
  TL2p  [sp87]  (bytes c0 80)
  TL3p  [spa5]  (bytes f0 20)
  TM0P  [sp78]  (bytes 23 80)
  TM0V  [sp78]  (bytes 28 d0)
  TM0p  [sp78]  (bytes 23 80)
  TM1P  [sp78]  (bytes 1e 60)
  TM1a  [sp78]  (bytes 2b 7f)
  TM1p  [sp78]  (bytes 1e 60)
  TM2P  [sp78]  (bytes 20 40)
  TM2a  [sp78]  (bytes 2a 68)
  TM2b  [sp78]  (bytes 2e e8)
  TM2c  [sp78]  (bytes 29 e8)
  TM2d  [sp78]  (bytes 2e e8)
  TM2p  [sp78]  (bytes 20 40)
  TM3P  [sp78]  (bytes 22 a0)
  TM3a  [sp78]  (bytes 2b d6)
  TM3b  [sp78]  (bytes 29 89)
  TM3c  [sp78]  (bytes 2a 1e)
  TM3d  [sp78]  (bytes 2b ef)
  TM3p  [sp78]  (bytes 22 a0)
  TM4a  [sp78]  (bytes 28 d0)
  TMXP  [sp78]  (bytes 23 80)
  TPCD  [sp78]  (bytes 2d 00)
  TS0V  [sp78]  (bytes 1e 47)
  Tb0P  [sp78]  (bytes 28 80)
  Tb0p  [sp78]  (bytes 28 80)
  Tm0P  [sp78]  (bytes 21 c0)
  Tm0p  [sp78]  (bytes 21 c0)
  Tm1P  [sp78]  (bytes 25 00)
  Tm1p  [sp78]  (bytes 25 00)
  Tp2F  [sp78]  (bytes 1f d3)
  Tp2H  [sp78]  (bytes 1f e0)
  Tp2h  [sp78]  (bytes 1f e0)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  0 (bytes 00 00 00 00)
  UPRC  [ui16]  1 (bytes 00 01)
  UREV  [ui8 ]  (bytes a3)
  URPP  [ui32]  51 (bytes 00 00 00 33)
  URWD  [ui32]  0 (bytes 00 00 00 00)
  USR0  [ui32]  255 (bytes ff ff ff ff)
  USR1  [ui32]  255 (bytes ff ff ff ff)
  USR2  [ui32]  255 (bytes ff ff ff ff)
  USR3  [ui32]  195 (bytes 00 a6 c7 c3)
  VC0C  [sp2d]  (bytes 21 1b)
  VC0G  [sp2d]  (bytes 00 12)
  VC0M  [sp2d]  (bytes 30 00)
  VD2R  [sp4b]  (bytes 60 20)
  VG0C  [sp2d]  (bytes 1b ab)
  VH05  [sp3c]  (bytes 51 5e)
  VL3t  [si16]  (bytes ff 81)
  VM0R  [sp2d]  (bytes 30 07)
  VN1R  [sp2d]  (bytes 21 7c)
  VR3R  [sp3c]  (bytes 34 a0)
  WCPW  [ui8 ]  0 (bytes 00)
  WIr0  [si8 ]  (bytes 04)
  WIw0  [si8 ]  (bytes 00)
  WIz0  [ui8 ]  2 (bytes 02)
  WKEN  [ui8 ]  0 (bytes 00)
  ZPEN  [hex_]  (bytes 1f)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
