Num: b0=0 b1=0 b2=3 b3=2 size=4
  MSF2  [ui8 ]  0 (bytes 00)
  MSF9  [ui8 ]  0 (bytes 00)
  MSFA  [ch8*]  (bytes 00 00 00 00)
  MSFC  [ui8 ]  0 (bytes 00)
  MSFD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSFW  [flag]  (bytes 01)
  MSG3  [flag]  (bytes 00)
  MSGA  [fp6a]  (bytes 00 00)
  MSHT  [sp78]  (bytes 00 00)
  MSLD  [ui8 ]  0 (bytes 00)
  MSLF  [ui8 ]  0 (bytes 00)
  MSLG  [ui8 ]  0 (bytes 00)
  MSLP  [ui8 ]  0 (bytes 00)
  MSLS  [ui8 ]  0 (bytes 00)
  MSLT  [flt ]  (bytes 00 00 00 00)
  MSLU  [flt ]  (bytes 00 00 00 00)
  MSLg  [ui8 ]  0 (bytes 00)
  MSN0  [ui16]  112 (bytes 00 70)
  MSPA  [fp6a]  (bytes 00 00)
  MSPB  [flag]  (bytes 00)
  MSPC  [ui8 ]  26 (bytes 1a)
  MSPE  [ui8 ]  16 (bytes 10)
  MSPI  [ui8 ]  16 (bytes 10)
  MSPP  [ui8 ]  0 (bytes 00)
  MSPS  [hex_]  (bytes 00 04)
  MSPT  [ui8 ]  44 (bytes 1c 10 00 09 10)
  MSPV  [ui8 ]  0 (bytes 00)
  MSQA  [flag]  (bytes 00)
  MSQC  [ui16]  32 (bytes 01 20)
  MSQF  [ui8 ]  0 (bytes 00)
  MSQL  [ui8 ]  0 (bytes 00)
  MSQN  [flag]  (bytes 00)
  MSQO  [ui8 ]  120 (bytes 78)
  MSQS  [flag]  (bytes 00)
  MSQW  [ui16]  0 (bytes 00 00)
  MSRC  [ui32]  2 (bytes 00 00 00 02)
  MSSD  [si8 ]  (bytes 05)
  MSSF  [ui32]  0 (bytes 00 00 00 00)
  MSSG  [ui32]  0 (bytes 00 00 00 00)
  MSSP  [si8 ]  (bytes 00)
  MSSR  [flag]  (bytes 01)
  MSSS  [{mss]  (bytes 00)
  MSTC  [ui16]  0 (bytes 00 00)
  MSTD  [ui16]  0 (bytes 00 00)
  MSTS  [ui8 ]  2 (bytes 02)
  MSTc  [ui8 ]  0 (bytes 00)
  MSTe  [ui8 ]  0 (bytes 00)
  MSTf  [ui8 ]  0 (bytes 00)
  MSTi  [ui8 ]  0 (bytes 00)
  MSTj  [ui8 ]  0 (bytes 00)
  MSWr  [ui8 ]  0 (bytes 00)
  MSXC  [ch8*]  (bytes 00 00 00 00)
  MSXD  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXH  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXK  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXL  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXN  [ui8 ]  46 (bytes 2e)
  MSXP  [ui32]  0 (bytes 00 00 00 00)
  MSXS  [ch8*]  (bytes 01 02 03 04)
  MSXT  [ui32]  255 (bytes ff ff ff ff)
  MSXb  [ui8 ]  0 (bytes 00)
  MSXc  [ch8*]  (bytes 00 00 00 00)
  MSXd  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXh  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  MSXk  [ch8*]  (bytes 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20)
  MSXl  [ch8*]  (bytes 00 00 fd e8 00 00 fd e8 00 00 fd e8 00 00 fd e8)
  MSXm  [ui16]  8 (bytes 00 08)
  MSXn  [ui8 ]  58 (bytes 3a)
  MSXs  [ui32]  4 (bytes 01 02 03 04)
  MSa!  [hex_]  (bytes 00)
  MSac  [ui8 ]  0 (bytes 00)
  MSaf  [ui8 ]  0 (bytes 00)
  MSag  [ui8 ]  0 (bytes 00)
  MSah  [ui8 ]  0 (bytes 00)
  MSai  [ui8 ]  0 (bytes 00)
  MSap  [ui8 ]  0 (bytes 00)
  MSt0  [flt ]  (bytes 00 00 00 00)
  MSt1  [flt ]  (bytes 00 00 00 00)
  MSt2  [flt ]  (bytes 00 00 00 00)
  MSt3  [flt ]  (bytes 00 00 00 00)
  MSt4  [flt ]  (bytes 00 00 00 00)
  MSt5  [flt ]  (bytes 00 00 00 00)
  MVDS  [flag]  (bytes 00)
  MVS4  [ui8 ]  0 (bytes 00)
  NATJ  [ui8 ]  2 (bytes 02)
  NATi  [ui16]  27 (bytes 00 1b)
  NOPB  [ui8 ]  0 (bytes 00)
  NTOK  [ui8 ]  0 (bytes 00)
  ONMI  [ui8 ]  0 (bytes 00)
  OOBC  [ui8 ]  (bytes 00 00)
  OOBR  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBS  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  OOBT  [ui8 ]  (bytes 00 00)
  OOBW  [ui8 ]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  PC0C  [spa5]  (bytes 05 a2)
  PC0S  [spa5]  (bytes 00 4c)
  PCPC  [spa5]  (bytes 05 ae)
  PCPT  [spa5]  (bytes 06 e1)
  PCTR  [spa5]  (bytes 08 95)
  PD2R  [spa5]  (bytes 0f 42)
  PDTR  [spa5]  (bytes 0f 42)
  PG0C  [spa5]  (bytes 00 00)
  PG0R  [spa5]  (bytes 00 0b)
  PG0S  [spa5]  (bytes 00 00)
  PG1C  [spa5]  (bytes 01 28)
  PG1R  [spa5]  (bytes 04 56)
  PG1S  [spa5]  (bytes 01 0d)
  PGTR  [spa5]  (bytes 04 62)
  PH0F  [sp78]  (bytes 81 00)
  PH0R  [spa5]  (bytes 00 1d)
  PI0R  [spa5]  (bytes 02 6f)
  PMC0  [spa5]  (bytes 00 00)
  PMC1  [spa5]  (bytes 00 00)
  PMC2  [spa5]  (bytes 00 00)
  PMC3  [spa5]  (bytes 00 00)
  PMCT  [spa5]  (bytes 00 00)
  PMTR  [spa5]  (bytes 00 b8)
  PSTR  [spa5]  (bytes 0f 42)
  PXTR  [spa5]  (bytes 0f e6)
  PZ0E  [flt ]  (bytes 00 00 c8 43)
  PZ0F  [flt ]  (bytes 2b 7b ce 42)
  PZ0G  [spa5]  (bytes 0c 3e)
  PZ0T  [flt ]  (bytes 00 00 00 00)
  PZ1E  [flt ]  (bytes 00 00 2a 43)
  PZ1F  [flt ]  (bytes 29 3b 75 42)
  PZ1G  [spa5]  (bytes 07 dc)
  PZ1T  [flt ]  (bytes 00 00 00 00)
  PZ2E  [flt ]  (bytes 00 00 12 43)
  PZ2F  [flt ]  (bytes 71 1c bf 3e)
  PZ2G  [spa5]  (bytes 00 0b)
  PZ2T  [flt ]  (bytes 00 00 00 00)
  PZ3E  [flt ]  (bytes 00 00 12 43)
  PZ3F  [flt ]  (bytes 07 42 26 42)
  PZ3G  [spa5]  (bytes 04 56)
  PZ3T  [flt ]  (bytes 00 00 00 00)
  PZ4E  [flt ]  (bytes 00 40 03 44)
  PZ4F  [flt ]  (bytes 00 20 20 43)
  PZ4G  [spa5]  (bytes 12 ad)
  PZ4T  [flt ]  (bytes 00 00 00 00)
  PZ5E  [flt ]  (bytes 00 c8 af 44)
  PZ5F  [flt ]  (bytes c9 8a e6 42)
  PZ5G  [flt ]  (bytes 62 91 d3 42)
  PZ5T  [flt ]  (bytes 00 00 00 00)
  PZFE  [flt ]  (bytes 43 c8 00 00)
  PZSE  [flt ]  (bytes 43 c8 00 00)
  RBr   [ch8*]  (bytes 6a 39 30 00 00 00 00 00)
