Num: b0=0 b1=0 b2=1 b3=ffffffeb size=4
  SMBR  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SMBS  [ch8*]  (bytes 00 00)
  SMBW  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  SPDO  [ui8 ]  1 (bytes 01)
  SPH0  [ui16]  0 (bytes 00 00)
  SPHR  [ui32]  0 (bytes 00 00 00 00)
  SPHS  [ui8 ]  0 (bytes 00)
  SPHT  [ui16]  0 (bytes 00 00)
  SPHZ  [ui8 ]  (bytes 00)
  SPT!  [hex_]  (bytes 00)
  SPU!  [hex_]  (bytes 00 00 00 00)
  SPV!  [hex_]  (bytes 00 00 00 00)
  SRS!  [hex_]  (bytes 00 00 00 00)
  SRT!  [hex_]  (bytes 00 00 00 00)
  SWER  [hex_]  (bytes 00)
  TB0T  [sp78]  (bytes 1f e6)
  TB1T  [sp78]  (bytes 1f e6)
  TB2T  [sp78]  (bytes 1e 33)
  TC0E  [sp78]  (bytes 35 20)
  TC0F  [sp78]  (bytes 37 43)
  TC0P  [sp78]  (bytes 2a c0)
  TC1C  [sp78]  (bytes 3a 00)
  TC2C  [sp78]  (bytes 42 00)
  TC3C  [sp78]  (bytes 3f 00)
  TC4C  [sp78]  (bytes 35 00)
  TCFC  [ui16]  4 (bytes 00 04)
  TCGC  [sp78]  (bytes 42 00)
  TCSA  [sp78]  (bytes 39 00)
  TCTD  [sp78]  (bytes 00 79)
  TCXC  [sp78]  (bytes 3a 48)
  TG0D  [sp78]  (bytes 2a 80)
  TG0P  [sp78]  (bytes 29 20)
  TG1D  [sp78]  (bytes 81 00)
  TG1F  [sp78]  (bytes 81 00)
  TG1d  [sp78]  (bytes 81 00)
  TH0A  [sp78]  (bytes 24 e0)
  TH0B  [sp78]  (bytes 25 e0)
  TH0V  [sp78]  (bytes 25 f1)
  TH0a  [sp78]  (bytes 24 e0)
  TH0b  [sp78]  (bytes 25 e0)
  TH0c  [sp78]  (bytes 81 00)
  TH0x  [sp78]  (bytes 25 e0)
  TM0P  [sp78]  (bytes 2d e0)
  TM0S  [sp78]  (bytes 2d fa)
  TMBS  [sp78]  (bytes 2d 00)
  TP0P  [sp78]  (bytes 30 80)
  TPCD  [sp78]  (bytes 37 00)
  TS0D  [sp78]  (bytes 81 00)
  TS0P  [sp78]  (bytes 81 00)
  TS1D  [sp78]  (bytes 81 00)
  TS1P  [sp78]  (bytes 81 00)
  TW0P  [sp78]  (bytes 2a 00)
  Ta0P  [sp78]  (bytes 24 20)
  TaSP  [sp78]  (bytes 21 8c)
  Th1H  [sp78]  (bytes 27 40)
  Th2H  [sp78]  (bytes 27 60)
  Ts0P  [sp78]  (bytes 1f e0)
  Ts0S  [sp78]  (bytes 24 59)
  Ts1S  [sp78]  (bytes 24 00)
  UBDC  [flag]  (bytes 00)
  UFIS  [ui32]  2 (bytes 00 00 00 02)
  UPRC  [ui16]  1 (bytes 00 01)
  URPP  [ui32]  51 (bytes 00 00 00 33)
  URWD  [ui32]  0 (bytes 00 00 00 00)
  USR3  [ui32]  71 (bytes 00 3b ed 47)
  VBLC  [sp69]  (bytes 5c 5e)
  VBLc  [ui16]  247 (bytes 09 f7)
  VC0C  [sp1e]  (bytes 37 61)
  VC0c  [ui16]  74 (bytes 05 4a)
  VC2C  [sp2d]  (bytes 1c eb)
  VC2c  [ui16]  100 (bytes 04 64)
  VCRP  [sp78]  (bytes 00 00)
  VD0R  [sp5a]  (bytes 51 f9)
  VD0r  [ui16]  111 (bytes 0e 6f)
  VG0C  [sp1e]  (bytes 00 01)
  VN0C  [sp1e]  (bytes 00 24)
  VP0R  [sp4b]  (bytes 64 89)
  VP0r  [ui16]  42 (bytes 0a 2a)
  WCPD  [ui8 ]  0 (bytes 00)
  WCPW  [ui8 ]  0 (bytes 00)
  WKEN  [ui8 ]  0 (bytes 00)
  WKTP  [ui8 ]  0 (bytes 00)
  WOr0  [si8 ]  (bytes ff)
  WOw0  [si8 ]  (bytes ff)
  ZP0D  [si16]  (bytes 13 88)
  ZP1D  [si16]  (bytes 13 88)
  ZP2D  [si16]  (bytes 00 fa)
  ZP3D  [si16]  (bytes 00 fa)
  zDBG  [ui8 ]  (bytes 00)
  zDSF  [flag]  (bytes 00)
  zRST  [ui8 ]  (bytes 00)
