BootArgs: Version=2, Revision=1, at 0xffffff80213b8000
CommandLine: 
Video: baseAddr=0xb0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x213c1000, length=0x17b4
Kernel image: kaddr=0x1d500000, ksize=0x3f86000
EFI Runtime: Mode=64, PageStart=0x213c3 (0x213c3000), PageCount=0xc0, SystemTable=0x21417e10
MemoryMap: Size=0x2c70, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_data    000000007960a000 - 000000007960cfff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000007960d000 - 000000007960dfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000007960e000 - 000000007960efff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000007960f000 - 000000007960ffff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079610000 - 0000000079642fff 0000000000000033 0000000000000000 000000000000000f
BS_code    0000000079643000 - 0000000079643fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000079644000 - 000000008ace8fff 00000000000116a5 0000000000000000 000000000000000f
available  000000008ace9000 - 000000008ad00fff 0000000000000018 0000000000000000 000000000000000f
ACPI_NVS   000000008ad01000 - 000000008ad48fff 0000000000000048 0000000000000000 000000000000000f
available  000000008ad49000 - 000000008ad60fff 0000000000000018 0000000000000000 000000000000000f
ACPI_recl  000000008ad61000 - 000000008ad8efff 000000000000002e 0000000000000000 000000000000000f
available  000000008ad8f000 - 000000008ae39fff 00000000000000ab 0000000000000000 000000000000000f
available  000000008ae3a000 - 000000008ae8efff 0000000000000055 0000000000000000 000000000000000f
available  000000008ae8f000 - 000000008aed3fff 0000000000000045 0000000000000000 000000000000000f
available  000000008aed4000 - 000000008aefefff 000000000000002b 0000000000000000 000000000000000f
available  000000008aeff000 - 000000008afa6fff 00000000000000a8 0000000000000000 000000000000000f
reserved   000000008afa7000 - 000000008afdefff 0000000000000038 0000000000000000 000000000000000f
BS_data    000000008afdf000 - 000000008affffff 0000000000000021 0000000000000000 000000000000000f
reserved   000000008b000000 - 000000008fffffff 0000000000005000 0000000000000000 0000000000000000
MemMapIO   00000000e00f8000 - 00000000e00f8fff 0000000000000001 ffffff8021443000 8000000000000001
MemMapIO   00000000fed1c000 - 00000000fed1ffff 0000000000000004 ffffff8021444000 8000000000000001
MemMapIO   00000000ffd70000 - 00000000ffd9ffff 0000000000000030 ffffff8021448000 8000000000000001
available  0000000100000000 - 000000026effffff 000000000016f000 0000000000000000 000000000000000f

